Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1984,Gulf of Mexico,Leiostomus xanthurus,28.5057352856081,0.270831168479202,-94.0408770597155,0.666891089227979,43.3469517813472,4.73565883064891
1985,Gulf of Mexico,Leiostomus xanthurus,28.463766762915,0.254471774519451,-93.7770216462729,0.690391212535871,53.7640897975566,4.00734907051873
1986,Gulf of Mexico,Leiostomus xanthurus,28.6264952978083,0.201405820377772,-93.6073936273168,0.672401959554363,45.0521521459329,4.71006961515905
1987,Gulf of Mexico,Leiostomus xanthurus,28.874924809778,0.156113252190386,-92.2173014636609,0.638816951846449,40.5382595233944,3.31694002686642
1988,Gulf of Mexico,Leiostomus xanthurus,28.5226071921843,0.280453672083092,-93.7537209331324,1.1020871217706,49.5515314921679,3.74590083236577
1989,Gulf of Mexico,Leiostomus xanthurus,28.390248454914,0.204359334914572,-94.2540726167769,0.508645918750227,52.0845859760525,3.89137152143223
1990,Gulf of Mexico,Leiostomus xanthurus,28.1788634159108,0.183422897846502,-95.1830015625634,0.462468003735758,53.9706485512487,2.62346158856241
1991,Gulf of Mexico,Leiostomus xanthurus,28.733676623314,0.152173452253841,-93.6751375351607,0.463627751562776,47.8216629137977,4.34230753240058
1992,Gulf of Mexico,Leiostomus xanthurus,28.6016395915145,0.129859125619597,-94.1464292371536,0.460675775344463,51.487665156703,3.94025240110813
1993,Gulf of Mexico,Leiostomus xanthurus,28.7175304939843,0.134579463992984,-93.3843731554984,0.389637349461968,50.298863362049,3.87621170168795
1994,Gulf of Mexico,Leiostomus xanthurus,28.5210825793413,0.211136110534456,-94.3148706415656,0.573617841579143,44.1700727969158,3.61217296369325
1995,Gulf of Mexico,Leiostomus xanthurus,27.5125367048019,0.322879633136205,-95.9705062465084,0.467337572351125,44.3257065718816,3.42882512867952
1996,Gulf of Mexico,Leiostomus xanthurus,28.6236901111046,0.146113294836034,-93.3970640934854,0.534688310799609,49.7905762823027,3.66468757282193
1997,Gulf of Mexico,Leiostomus xanthurus,28.0977864123393,0.158330610935134,-95.3070550842834,0.592721495048067,53.4009520510328,2.66446480117612
1998,Gulf of Mexico,Leiostomus xanthurus,28.6002505753425,0.195199972471058,-93.4728984419116,0.523651700063605,51.0508983210593,4.0283705741473
1999,Gulf of Mexico,Leiostomus xanthurus,28.5263636195205,0.176758343792233,-94.3346852770351,0.591430037667597,50.4767782713076,3.99848966325858
2000,Gulf of Mexico,Leiostomus xanthurus,28.9208612339934,0.216355437142549,-92.124491703774,0.740786911615647,47.0197406199101,4.06889447654514
2001,Gulf of Mexico,Leiostomus xanthurus,27.6805526638605,0.33540723130009,-95.4517008307251,0.846575714636382,38.9668413516794,2.29567467761017
2002,Gulf of Mexico,Leiostomus xanthurus,28.4285633234048,0.249373516008523,-95.0835587751288,0.400975802134398,41.1603514621598,3.95168274005857
2003,Gulf of Mexico,Leiostomus xanthurus,28.5902557557365,0.215372151320937,-93.6014222076513,0.658304480437321,42.7978672174455,3.82121353093642
2004,Gulf of Mexico,Leiostomus xanthurus,28.5370494992381,0.262315813766127,-93.3712424392398,0.654983608645587,49.984257013446,4.46702870029711
2005,Gulf of Mexico,Leiostomus xanthurus,28.178459833042,0.327622330142419,-93.4800311738728,0.839231104342541,46.0647359578438,3.09886107438411
2006,Gulf of Mexico,Leiostomus xanthurus,28.8568681003528,0.156227207947102,-92.3772231425145,0.666039629069428,42.8677267357645,3.04966414020045
2007,Gulf of Mexico,Leiostomus xanthurus,29.1848773078067,0.146153318230296,-90.5477356555845,0.650550402075875,50.9691314758836,2.28196350798489
2008,Gulf of Mexico,Leiostomus xanthurus,28.8898753506294,0.231953404207288,-91.5659459565712,0.830981098859767,51.5669009541639,2.91773809937091
2009,Gulf of Mexico,Leiostomus xanthurus,29.0430740060733,0.148396944141432,-91.8074370222543,0.827322176314388,53.4386049694136,3.09004882953977
2010,Gulf of Mexico,Leiostomus xanthurus,28.6533965912137,0.226494195663553,-93.8577522722389,0.45630118525795,43.4818050851568,4.08666282863232
2011,Gulf of Mexico,Leiostomus xanthurus,29.0856950317181,0.182456621705541,-91.4511788281333,0.808528635908692,52.4466705715758,2.81563397489925
2012,Gulf of Mexico,Leiostomus xanthurus,29.0934929584043,0.155050781567336,-91.8683911240076,0.843473731782457,51.2872722626333,3.35857543238795
2013,Gulf of Mexico,Leiostomus xanthurus,28.8154203866369,0.164921535610287,-92.4779295883477,0.434623820232397,49.285757173834,5.54334892404025